key,instantiationUpdateMoment,displayStart,displayFinish,linkPicture,slogan,linkTarget
banner-27,2010/06/06 09:10,2010/06/06 09:10,2001/02/02 01:01,http://AcmeSF,D--------------------------------------------,http://Hell----------------------owWorldbanner11.com
banner-28,2010/06/06 09:10,2010/06/06 09:10,2001/02/02 01:01,http://AcmeSF,D-------------------------------------------------,http://Hell----------------------owWorldbanner11.com
banner-29,2010/06/06 09:10,2010/06/06 09:10,2001/02/02 01:01,http://AcmeSF,証拠,http://Hell----------------------owWorldbanner11.com
banner-30,2010/06/06 09:10,2010/06/06 09:10,2001/02/02 01:01,http://AcmeSF,<h1>HolaMundo<h1>,http://Hell----------------------owWorldbanner11.com
banner-31,2010/06/06 09:10,2010/06/06 09:10,2001/02/02 01:01,http://AcmeSF,‘or ‘A’ = ‘A,http://Hell----------------------owWorldbanner11.com
banner-32,2010/06/06 09:10,2010/06/06 09:10,2001/02/02 01:01,http://AcmeSF,доказательство,http://Hell----------------------owWorldbanner11.com
banner-33,2010/06/06 09:10,2010/06/06 09:10,2001/02/02 01:01,http://AcmeSF,доказательство,ftp://ftp.example.org1
banner-34,2010/06/06 09:10,2010/06/06 09:10,2001/02/02 01:01,http://AcmeSF,slogan,http://AcmeJobCon255Caracteres---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
banner-35,2010/06/06 09:10,2010/06/06 09:10,2001/02/02 01:01,http://AcmeSF,slogan,http://AcmeJobCon255Caracteres--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
banner-36,2010/06/06 09:10,2010/06/06 09:10,2001/02/02 01:01,http://AcmeSF,slogan,http://example.com/page?param1=value1&param2=value2
banner-37,2010/06/06 09:10,2010/06/06 09:10,2001/02/02 01:01,http://AcmeSF,slogan,http://example.org/api?key=123456789&format=json
banner-38,2010/06/06 09:10,2010/06/06 09:10,2001/02/02 01:01,http://AcmeSF,slogan,ftp://ftp.example.com/file.txt?user=username&password=12345
banner-39,2010/06/06 09:10,2010/06/06 09:10,2001/02/02 01:01,http://AcmeSF,slogan,http://AcmeSF
banner-40,2019/01/06 09:10,2024/09/06 09:10,2024/10/02 01:01,https://m.media-amazon.com/images/G/30/gc/designs/livepreview/a_generic_10_v2016_es_noto_email_v2016_es-main._CB647221308_.png,AmazonSlogan,https://www.amazon.es/
